bag_name,mean_window_speed,mean_window_radius_from_velocity,mean_window_steering_angle,mean_window_acceleration_from_velocity,mean_window_steering_angle_deviation_from_center
circle_throttle122_speed120_2023-09-03-21-39-52.bag,7.3,5.5,122,9.5,24
circle_throttle70_speed116_2023-09-03-21-26-02.bag,6.1,4,71,9.5,27
circle_throttle70_speed120_2023-09-03-21-40-36.bag,7.5,6,72,9.5,26
circle_throttle77_speed116_2023-09-03-21-30-06.bag,6.5,4.4,77,9.3,21
circle_throttle77_speed120_2023-09-03-21-41-45.bag,7.8,6.5,77,9.5,21
circle_throttle85_speed110_2023-09-03-21-15-54.bag,6.2,4.5,85,8,13
circle_throttle85_speed110_2023-09-03-21-19-53.bag,6,4.5,85,7.5,13
circle_throttle85_speed116_2023-09-03-21-37-23.bag,7.4,6.3,85,8.7,13
circle_throttle87_speed102_2023-09-03-21-11-56.bag,2.8,3,86,3,12
circle_throttle87_speed110_2023-09-03-21-18-31.bag,6.6,6.5,88,7,10
circle_throttle90_speed102_2023-09-03-21-07-55.bag,2.8,5,90,1.8,8
circle_throttle90_speed110_2023-09-03-21-21-11.bag,7.4,10,90,5.5,8
circle_all_left_2023-09-03-20-34-54.bag,2.5,1.2,71,4.5,27
circle_all_right_2023-09-03-20-35-49.bag,2.5,1.3,122,5,24
circle_all_right_speed110_2023-09-03-20-39-47.bag,4.7,2.3,122,9.5,24
circle_throttle123_speed116_2023-09-03-21-25-20.bag,6.3,4,122,9.5,24
circle_throttle115_speed102_2023-09-03-21-09-52.bag,2.3,1.9,115,3.5,17
circle_throttle115_speed110_2023-09-03-21-14-08.bag,5.4,3.5,115,8.5,17
circle_throttle115_speed116_2023-09-03-21-29-31.bag,6.7,4.8,115,9.5,17
circle_throttle116_speed120_2023-09-03-21-42-34.bag,7.7,6,115,9.5,17
circle_throttle82_speed102_2023-09-03-21-10-41.bag,2.6,2,82,3.5,16
circle_throttle82_speed110_2023-09-03-21-14-40.bag,5.5,3.6,82,8.5,16
circle_throttle82_speed116_2023-09-03-21-33-12.bag,6.8,5,82,9.2,16
circle_throttle82_speed116_2023-09-03-21-36-01.bag,6.9,5,82,9.3,16
circle_throttle111_speed116_2023-09-03-21-32-30.bag,7,5.5,111,9,13
circle_throttle112_speed110_2023-09-03-21-16-23.bag,5.8,4.2,111,8.5,13
circle_throttle110_speed102_2023-09-03-21-12-29.bag,2.8,2.6,109,3,11
circle_throttle112_speed110_2023-09-03-21-17-47.bag,6.7,6.5,108,7,10
circle_throttle107_speed116_2023-09-03-21-38-07.bag,7.9,7.5,107,8,9
circle_throttle104_speed110_2023-09-03-21-22-41.bag,7.5,10,104,5.5,6
circle_throttle105_speed102_2023-09-03-21-06-34.bag,3,5,104,2,6
